card,reports,age,income,share,expenditure,owner,selfemp,dependents,months,majorcards,active
FALSE,0,44,28055,0,0,TRUE,FALSE,5,4,1,0
FALSE,0,23,25500,0,0,TRUE,FALSE,2,24,1,0
FALSE,0,28,25000,0,0,FALSE,FALSE,0,82,1,0
FALSE,0,80,15000,0,0,FALSE,FALSE,0,24,1,0
FALSE,0,32,25000,0,0,FALSE,FALSE,1,60,1,0
FALSE,0,35,27800,0,0,FALSE,FALSE,0,6,1,0
FALSE,0,35,45000,0,0,TRUE,FALSE,6,6,0,0
FALSE,0,23,16360,0,0,FALSE,FALSE,1,13,1,0
FALSE,0,23,23040,0,0,FALSE,FALSE,1,12,1,0
FALSE,0,25,16000,0,0,FALSE,FALSE,0,93,1,0
FALSE,0,35,18500,0,0,FALSE,FALSE,0,62,0,0
FALSE,0,25,18504,0,0,FALSE,FALSE,0,14,1,0
FALSE,0,24,15000,0,0,FALSE,FALSE,0,18,1,0
FALSE,0,36,22200,0,0,TRUE,FALSE,2,4,1,0
FALSE,0,27,20000,0,0,FALSE,FALSE,0,48,1,0
FALSE,0,29,17000,0,0,FALSE,FALSE,1,28,1,0
FALSE,0,28,15000,0,0,FALSE,FALSE,1,5,0,0
FALSE,0,34,25000,0,0,TRUE,FALSE,1,12,1,0
FALSE,0,34,35995,0,0,FALSE,FALSE,4,14,1,0
FALSE,0,32,50000,0,0,FALSE,TRUE,0,14,1,0
FALSE,0,22,20700,0,0,FALSE,FALSE,0,1,1,0
FALSE,0,44,18000,0,0,FALSE,FALSE,2,33,0,0
FALSE,0,40,18400,0,0,FALSE,TRUE,2,18,1,0
FALSE,0,42,19800,0,0,TRUE,FALSE,2,36,1,0
FALSE,0,31,17800,0,0,FALSE,FALSE,0,14,1,0
FALSE,0,36,52000,0,0,TRUE,FALSE,2,12,1,0
FALSE,0,36,24080,0,0,FALSE,FALSE,4,14,1,0
FALSE,0,23,24000,0,0,FALSE,FALSE,0,1,1,0
FALSE,0,21,27268,0,0,FALSE,FALSE,1,18,1,0
FALSE,0,22,18000,0,0,FALSE,FALSE,2,4,1,0
FALSE,0,24,27885,0,0,FALSE,FALSE,0,4,1,0
FALSE,0,37,15548,0,0,FALSE,FALSE,1,36,1,0
FALSE,0,20,12000,0,0,FALSE,TRUE,1,24,1,0
FALSE,0,41,35000,0,0,FALSE,FALSE,0,54,1,0
FALSE,0,30,26000,0,0,FALSE,FALSE,0,5,0,0
FALSE,0,31,15150,0,0,FALSE,FALSE,2,20,1,0
FALSE,0,33,37000,0,0,TRUE,FALSE,2,72,1,0
FALSE,0,26,25000,0,0,FALSE,TRUE,0,18,0,0
FALSE,0,49,36000,0,0,FALSE,FALSE,2,12,0,0
FALSE,0,33,25500,0,0,FALSE,FALSE,3,36,1,0
FALSE,0,37,32000,0,0,FALSE,FALSE,0,14,1,0
FALSE,0,41,47400,0,0,TRUE,FALSE,0,13,1,0
FALSE,0,42,22845,0,0,FALSE,FALSE,2,46,1,0
FALSE,0,27,16400,0,0,FALSE,FALSE,0,104,1,0
FALSE,0,26,49000,0,0,FALSE,FALSE,2,6,1,0
FALSE,0,39,4900,0,0,TRUE,FALSE,2,100,1,0
FALSE,0,23,22500,0,0,FALSE,FALSE,3,12,1,0
FALSE,0,21,51000,0,0,FALSE,FALSE,0,25,1,0
FALSE,0,28,20000,0,0,FALSE,FALSE,0,108,1,0
FALSE,0,36,45000,0,0,TRUE,FALSE,2,228,1,0
FALSE,0,22,31475,0,0,FALSE,FALSE,2,19,0,0
FALSE,0,31,30000,0,0,FALSE,FALSE,0,12,0,0
FALSE,0,27,23500,0,0,FALSE,FALSE,3,6,1,0
FALSE,0,39,36000,0,0,FALSE,FALSE,0,14,0,0
FALSE,0,53,110000,0,0,TRUE,TRUE,0,429,1,0
FALSE,0,23,12000,0,0,FALSE,FALSE,0,15,0,0
FALSE,0,29,28600,0,0,FALSE,FALSE,0,38,1,0
FALSE,0,21,99999,0,0,FALSE,FALSE,2,8,0,0
FALSE,0,34,34000,0,0,FALSE,FALSE,0,12,1,0
FALSE,0,23,25000,0,0,FALSE,FALSE,0,36,0,0
FALSE,0,25,17500,0,0,FALSE,FALSE,0,108,0,0
FALSE,0,22,25000,0,0,FALSE,FALSE,0,27,1,0
FALSE,0,36,41000,0,0,TRUE,FALSE,2,30,1,0
FALSE,0,25,16000,0,0,FALSE,FALSE,0,12,1,0
FALSE,0,32,40000,0,0,FALSE,FALSE,2,25,1,0
FALSE,0,22,25000,0,0,FALSE,FALSE,3,30,0,0
FALSE,0,19,22000,0,0,FALSE,FALSE,0,6,1,0
FALSE,0,23,16720,0,0,FALSE,FALSE,0,27,1,0
FALSE,0,37,18339,0,0,FALSE,FALSE,2,52,1,0
FALSE,0,23,22000,0,0,FALSE,FALSE,0,31,0,0
FALSE,0,37,90000,0,0,FALSE,FALSE,0,132,1,0
FALSE,0,32,21600,0,0,FALSE,FALSE,0,42,0,0
FALSE,0,31,40104,0,0,FALSE,FALSE,0,42,1,0
FALSE,0,27,16000,0,0,TRUE,FALSE,1,30,0,0
FALSE,0,47,84000,0,0,TRUE,FALSE,3,6,1,0
FALSE,0,47,15000,0,0,TRUE,FALSE,0,60,1,0
TRUE,0,30,25500,0.002930457647,74.72667,TRUE,FALSE,1,11,1,0
TRUE,0,23,25500,0.000637254902,16.25,FALSE,FALSE,1,6,1,0
TRUE,0,34,70000,0.004186654286,293.0658,TRUE,FALSE,3,3,1,0
TRUE,0,22,17500,0.05178909714,906.3092,FALSE,FALSE,0,2,1,0
TRUE,0,28,69000,0.006026171014,415.8058,TRUE,FALSE,0,14,1,0
TRUE,0,30,24500,0.004857142857,119,FALSE,FALSE,0,8,1,0
TRUE,0,34,55000,0.01979525455,1088.739,TRUE,FALSE,4,12,1,0
TRUE,0,23,26000,0.06870296154,1786.277,FALSE,FALSE,0,4,1,0
TRUE,0,25,30000,0.01583394333,475.0183,FALSE,FALSE,0,10,0,0
TRUE,0,29,41000,0.003545834146,145.3792,FALSE,FALSE,0,13,1,0
TRUE,0,28,30000,0.005920526667,177.6158,TRUE,FALSE,0,20,1,0
TRUE,0,25,15600,0.002880929487,44.9425,FALSE,FALSE,1,12,1,0
TRUE,0,26,35000,0.01099712,384.8992,FALSE,FALSE,2,12,1,0
TRUE,0,23,29000,0,0,FALSE,FALSE,1,12,1,0
TRUE,0,26,40000,0.000079166675,3.166667,FALSE,FALSE,2,18,0,0
TRUE,0,52,26600,0.003705983459,98.57916,TRUE,FALSE,3,228,1,0
TRUE,0,38,50000,0.0047673,238.365,TRUE,FALSE,3,9,1,0
TRUE,0,29,50000,0.013498184,674.9092,TRUE,FALSE,4,3,1,0
TRUE,0,28,21600,0.002136188426,46.14167,FALSE,FALSE,2,7,1,0
TRUE,0,31,109999,0.0008856822335,97.42416,FALSE,FALSE,0,12,1,0
TRUE,0,19,18000,0.01014495556,182.6092,FALSE,FALSE,0,12,1,0
TRUE,0,27,25200,0.007467690476,188.1858,FALSE,FALSE,1,12,1,0
TRUE,0,20,18000,0.04612648333,830.2767,FALSE,FALSE,0,5,0,0
TRUE,0,39,35000,0.002899834286,101.4942,TRUE,FALSE,0,12,1,0
TRUE,0,37,38400,0.0009821179688,37.71333,FALSE,FALSE,3,10,1,0
TRUE,0,29,35000,0.01047842857,366.745,FALSE,FALSE,0,19,1,0
TRUE,0,22,31000,0.02000177419,620.055,FALSE,FALSE,0,3,1,0
TRUE,0,61,53726,0.004130015263,221.8892,TRUE,TRUE,0,12,1,0
TRUE,0,27,26500,0.006024716981,159.655,FALSE,FALSE,0,8,1,0
TRUE,0,35,60000,0.03818623333,2291.174,FALSE,FALSE,2,10,1,0
TRUE,0,27,35400,0.0005533898305,19.59,FALSE,FALSE,2,3,1,0
TRUE,0,40,28000,0.003169256071,88.73917,FALSE,FALSE,3,19,0,0
TRUE,0,25,25000,0.004980132,124.5033,FALSE,FALSE,0,6,0,0
TRUE,0,43,24000,0.002849340417,68.38417,FALSE,FALSE,0,12,1,0
TRUE,0,22,25000,0.019957068,498.9267,FALSE,FALSE,0,2,1,0
TRUE,0,27,50000,0.002408066,120.4033,TRUE,FALSE,1,24,1,0
TRUE,0,23,26000,0.01283121923,333.6117,FALSE,FALSE,0,6,1,0
TRUE,0,23,20000,0.008345085,166.9017,FALSE,FALSE,0,9,1,0
TRUE,0,22,27000,0.002944845556,79.51083,FALSE,FALSE,0,3,1,0
TRUE,0,25,15600,0.01383857051,215.8817,FALSE,FALSE,0,12,1,0
TRUE,0,51,47232,0.001797563093,84.9025,TRUE,FALSE,1,60,0,0
TRUE,0,21,22593,0.005408387554,122.1917,TRUE,FALSE,0,6,1,0
TRUE,0,24,30600,0.01421168301,434.8775,FALSE,FALSE,0,3,1,0
TRUE,0,24,29380,0.002332652485,68.53333,FALSE,FALSE,0,14,1,0
TRUE,0,33,35000,0.0002047619143,7.166667,FALSE,FALSE,0,12,1,0
TRUE,0,50,71000,0.003455657746,245.3517,TRUE,FALSE,2,12,1,0
TRUE,0,49,69000,0.005060894203,349.2017,TRUE,FALSE,3,160,0,0
TRUE,0,34,51000,0.008082092157,412.1867,TRUE,FALSE,4,3,1,0
TRUE,0,35,65000,0.00562932,365.9058,TRUE,FALSE,0,6,1,0
TRUE,0,32,30000,0.00981864,294.5592,TRUE,FALSE,2,9,1,0
TRUE,0,26,23200,0.0006034482759,14,FALSE,FALSE,0,2,1,0
TRUE,0,35,45000,0.001491055556,67.0975,TRUE,FALSE,1,14,1,0
TRUE,0,41,55000,0.002697681818,148.3725,TRUE,FALSE,3,9,1,0
TRUE,0,24,23000,0.002571630435,59.1475,FALSE,FALSE,0,12,1,0
TRUE,0,48,50000,0.0018235334,91.17667,FALSE,FALSE,3,7,1,0
TRUE,0,22,28000,0.006851278571,191.8358,FALSE,FALSE,0,4,1,0
TRUE,0,31,42000,0.003969683333,166.7267,TRUE,FALSE,0,53,1,0
TRUE,0,34,48000,0.00554881875,266.3433,TRUE,FALSE,3,15,1,0
TRUE,0,25,34200,0.0007185672515,24.575,FALSE,FALSE,0,3,1,0
TRUE,0,23,27000,0.01404808519,379.2983,FALSE,FALSE,0,2,1,0
TRUE,0,24,28896,0.006681461102,193.0675,FALSE,FALSE,0,12,0,0
TRUE,0,61,43200,0.00307525,132.8508,TRUE,FALSE,1,252,0,0
TRUE,0,24,39000,0.007841987179,305.8375,FALSE,FALSE,2,27,1,0
TRUE,0,24,27811,0.004373568013,121.6333,FALSE,FALSE,0,3,1,0
TRUE,0,29,22500,0.008879777778,199.795,FALSE,FALSE,0,36,1,0
TRUE,0,22,17900,0.002794878771,50.02833,FALSE,FALSE,0,3,1,0
TRUE,0,26,23000,0.002942028696,67.66666,FALSE,FALSE,0,24,1,0
TRUE,0,35,37000,0.0101793027,376.6342,TRUE,FALSE,1,12,1,0
TRUE,0,28,26900,0.01309194424,352.1733,FALSE,FALSE,1,62,0,0
TRUE,0,21,55000,0.006488712727,356.8792,FALSE,FALSE,0,50,1,0
TRUE,0,23,18000,0.002558657778,46.05584,FALSE,FALSE,1,4,0,0
TRUE,0,38,32618,0.0002171602489,7.083333,FALSE,FALSE,4,18,1,0
TRUE,0,20,16000,0.00698078125,111.6925,FALSE,FALSE,0,3,1,0
TRUE,0,36,22000,0.0009242422727,20.33333,TRUE,FALSE,0,77,1,0
TRUE,0,51,30000,0.005992193333,179.7658,TRUE,FALSE,0,121,1,0
TRUE,0,61,50000,0.003808616,190.4308,TRUE,FALSE,2,6,0,0
TRUE,0,43,39495,0.01309562476,517.2117,TRUE,FALSE,6,3,0,0
TRUE,0,21,21500,0.02215422326,476.3158,FALSE,FALSE,0,30,1,0
TRUE,0,23,23000,0.000623116087,14.33167,FALSE,FALSE,2,14,0,0
TRUE,0,24,30740,0.02090026675,642.4742,FALSE,FALSE,0,4,1,0
TRUE,0,24,24000,0.01510992917,362.6383,FALSE,FALSE,0,16,1,0
TRUE,0,26,27000,0.003417160741,92.26334,FALSE,FALSE,0,18,1,0
TRUE,0,31,27000,0.009588085185,258.8783,FALSE,FALSE,0,19,1,0
TRUE,0,27,30400,0.0031578125,95.9975,FALSE,FALSE,0,13,1,0
TRUE,0,23,18000,0.009289583333,167.2125,FALSE,FALSE,0,6,1,0
TRUE,0,23,15678,0,0,TRUE,FALSE,1,6,1,0
TRUE,0,23,30000,0.002133055333,63.99166,FALSE,FALSE,0,3,1,0
TRUE,0,22,24000,0.0068090625,163.4175,FALSE,FALSE,0,23,1,0
TRUE,0,35,35606,0.009088004831,323.5875,FALSE,FALSE,0,12,1,0
TRUE,0,40,30670,0.01330559178,408.0825,FALSE,FALSE,2,18,0,0
TRUE,0,47,104000,0.01924564423,2001.547,TRUE,FALSE,2,9,0,0
TRUE,0,48,45000,0.004514073333,203.1333,FALSE,FALSE,2,17,1,0
TRUE,0,40,40000,0.00621798,248.7192,TRUE,FALSE,2,96,1,0
TRUE,0,48,37000,0.009301554054,344.1575,TRUE,FALSE,2,2,1,0
TRUE,0,36,33000,0.01306494848,431.1433,FALSE,FALSE,0,3,1,0
TRUE,0,33,21000,0.01090313333,228.9658,FALSE,FALSE,0,6,0,0
TRUE,0,19,29800,0,0,FALSE,FALSE,0,18,1,0
TRUE,0,55,67000,0.00665381791,445.8058,TRUE,FALSE,0,35,1,0
TRUE,0,25,28800,0.003418894444,98.46416,FALSE,FALSE,0,7,1,0
TRUE,0,23,30000,0.009768056667,293.0417,FALSE,FALSE,0,14,1,0
TRUE,0,31,32000,0.0034252875,109.6092,FALSE,FALSE,2,17,1,0
TRUE,0,23,39200,0.01891592347,741.5042,FALSE,FALSE,0,16,1,0
TRUE,0,40,45000,0.0079805,359.1225,FALSE,FALSE,5,2,1,0
TRUE,0,29,22000,0,0,FALSE,FALSE,0,9,1,0
TRUE,0,20,34000,0.00002696078529,0.9166667,FALSE,FALSE,0,15,0,0
TRUE,0,19,18000,0.006993983333,125.8917,FALSE,FALSE,0,3,1,0
TRUE,0,25,80000,0.00141097875,112.8783,TRUE,FALSE,2,18,1,0
TRUE,0,40,24500,0.005816906122,142.5142,FALSE,FALSE,0,180,1,0
TRUE,0,25,26560,0.01328495105,352.8483,TRUE,FALSE,0,96,1,0
TRUE,0,37,52000,0.004926667308,256.1867,FALSE,FALSE,0,12,0,0
TRUE,0,19,28000,0.013934525,390.1667,TRUE,FALSE,0,10,0,0
TRUE,0,27,31800,0.007572981132,240.8208,FALSE,FALSE,2,12,0,0
TRUE,0,40,80000,0.00388928125,311.1425,TRUE,FALSE,2,38,1,0
TRUE,0,39,99999,0.005480404804,548.035,TRUE,TRUE,0,28,1,0
TRUE,0,20,16752,0.01464486628,245.3308,FALSE,FALSE,0,10,1,0
TRUE,0,26,31500,0.006021720635,189.6842,FALSE,FALSE,0,6,1,0
TRUE,0,23,32000,0.001410130313,45.12417,FALSE,FALSE,0,14,1,0
TRUE,0,27,35000,0.005556191429,194.4667,FALSE,FALSE,0,6,1,0
TRUE,0,22,19500,0.003106880513,60.58417,FALSE,FALSE,0,3,1,0
TRUE,0,31,26000,0.007006442308,182.1675,FALSE,FALSE,0,5,1,0
TRUE,0,24,28000,0.004954046429,138.7133,FALSE,FALSE,0,5,1,0
TRUE,0,31,35000,0.01380173714,483.0608,FALSE,FALSE,1,14,0,0
TRUE,0,41,68250,0.009737765568,664.6025,FALSE,FALSE,2,12,1,0
TRUE,0,41,30000,0.00796186,238.8558,TRUE,FALSE,3,120,0,0
TRUE,0,25,29000,0.006665286207,193.2933,FALSE,FALSE,0,2,1,0
TRUE,0,39,17123,0.007736477253,132.4717,FALSE,FALSE,0,72,1,0
TRUE,0,34,20000,0.010926,218.52,TRUE,FALSE,0,12,1,0
TRUE,0,27,26750,0.002889221308,77.28667,TRUE,FALSE,0,135,1,0
TRUE,0,49,33000,0.003382348485,111.6175,TRUE,FALSE,0,252,1,0
TRUE,0,25,55000,0.002059923636,113.2958,TRUE,TRUE,0,16,1,0
TRUE,0,31,20070,0.007525286497,151.0325,FALSE,FALSE,1,4,1,0
TRUE,0,28,54700,0.00243269287,133.0683,TRUE,FALSE,3,18,1,0
TRUE,0,21,20800,0.009777245192,203.3667,FALSE,FALSE,0,5,1,0
TRUE,0,30,21900,0.04062031963,889.585,FALSE,FALSE,0,6,1,0
TRUE,0,26,32000,0.0124640875,398.8508,TRUE,FALSE,2,12,1,0
TRUE,0,24,24800,0.01094627016,271.4675,FALSE,FALSE,0,18,1,0
TRUE,0,34,50000,0.0011616166,58.08083,TRUE,FALSE,4,6,1,0
TRUE,0,39,35000,0.005171857143,181.015,TRUE,FALSE,1,42,1,0
TRUE,0,27,40000,0.0030805625,123.2225,TRUE,FALSE,2,2,1,0
TRUE,0,29,25100,0.003755710359,94.26833,FALSE,FALSE,1,12,0,0
TRUE,0,42,26800,0.01191902985,319.43,FALSE,FALSE,1,84,1,0
TRUE,0,33,21000,0.003726468571,78.25584,FALSE,FALSE,4,12,1,0
FALSE,0,23,24250,0,0,FALSE,TRUE,2,132,1,1
FALSE,1,27,21500,0,0,FALSE,FALSE,0,97,1,1
FALSE,1,29,27000,0,0,FALSE,FALSE,1,347,0,1
FALSE,0,53,49000,0,0,TRUE,TRUE,0,108,0,1
FALSE,1,30,21800,0,0,FALSE,TRUE,0,13,1,1
FALSE,0,25,15000,0,0,FALSE,TRUE,4,48,0,1
FALSE,0,38,16000,0,0,FALSE,FALSE,0,51,1,1
FALSE,1,44,26000,0,0,TRUE,FALSE,0,48,1,1
FALSE,0,34,19440,0,0,FALSE,FALSE,1,54,1,1
FALSE,0,35,40000,0,0,FALSE,FALSE,2,70,1,1
FALSE,1,21,17800,0,0,FALSE,FALSE,0,5,1,1
FALSE,0,37,32628,0,0,FALSE,FALSE,1,98,0,1
FALSE,0,37,51600,0,0,TRUE,TRUE,0,86,1,1
FALSE,0,20,18000,0,0,FALSE,FALSE,0,4,0,1
FALSE,0,28,15480,0,0,FALSE,FALSE,3,5,0,1
FALSE,0,20,19500,0,0,FALSE,FALSE,0,14,0,1
FALSE,0,33,17700,0,0,FALSE,FALSE,0,102,1,1
FALSE,0,21,38400,0,0,FALSE,TRUE,1,12,0,1
FALSE,0,20,26400,0,0,FALSE,FALSE,3,7,1,1
TRUE,0,26,20000,0.0025875,51.75,FALSE,FALSE,1,6,1,1
TRUE,0,39,46000,0.002289673913,105.325,FALSE,FALSE,2,4,1,1
TRUE,0,38,26000,0.0003685897308,9.583333,FALSE,FALSE,0,12,1,1
TRUE,0,24,18750,0.0067212,126.0225,FALSE,FALSE,1,14,0,1
TRUE,0,27,24000,0.001375555417,33.01333,FALSE,FALSE,0,56,1,1
TRUE,0,22,25000,0.033572032,839.3008,FALSE,FALSE,0,4,1,1
TRUE,0,18,28200,0.003473049645,97.94,FALSE,FALSE,0,2,0,1
TRUE,0,20,20000,0.008352,167.04,FALSE,FALSE,0,14,1,1
TRUE,0,46,35000,0.003512262857,122.9292,FALSE,TRUE,2,48,1,1
TRUE,0,24,22000,0.005778104545,127.1183,TRUE,FALSE,0,229,0,1
TRUE,0,35,23500,0.00184422,43.33917,TRUE,FALSE,2,115,1,1
TRUE,0,30,38000,0.002709913158,102.9767,FALSE,FALSE,0,26,0,1
TRUE,0,21,24000,0.006826633333,163.8392,FALSE,FALSE,0,105,0,1
TRUE,0,54,15000,0.001345388667,20.18083,FALSE,FALSE,0,24,0,1
TRUE,0,62,26545,0.008645443586,229.4933,FALSE,FALSE,0,100,1,1
TRUE,0,18,25000,0.017627632,440.6908,FALSE,FALSE,0,4,0,1
TRUE,0,27,22000,0.01169553182,257.3017,FALSE,FALSE,0,3,0,1
TRUE,0,31,30000,0.01778758333,533.6275,FALSE,FALSE,0,7,1,1
TRUE,0,34,48000,0.03954235417,1898.033,FALSE,FALSE,3,12,1,1
TRUE,0,20,22375,0.004197504804,93.91917,FALSE,FALSE,0,27,1,1
TRUE,0,40,36400,0.002585668407,94.11833,FALSE,FALSE,1,41,1,1
TRUE,0,29,30000,0.00578225,173.4675,FALSE,FALSE,1,60,1,1
TRUE,0,18,19680,0.005280320122,103.9167,FALSE,FALSE,0,64,0,1
TRUE,0,22,15660,0.005857758621,91.7325,FALSE,FALSE,0,18,1,1
TRUE,0,28,28000,0.008020775,224.5817,FALSE,FALSE,0,5,0,1
TRUE,0,33,35000,0.004749665714,166.2383,FALSE,FALSE,0,26,1,1
TRUE,0,43,28000,0.003879403571,108.6233,TRUE,FALSE,0,147,1,1
TRUE,0,32,61064,0.008917214726,544.5208,TRUE,FALSE,1,67,1,1
TRUE,0,32,32000,0.00992075625,317.4642,FALSE,FALSE,0,30,1,1
TRUE,0,23,25000,0.0036798668,91.99667,FALSE,FALSE,0,54,1,1
TRUE,0,23,25850,0.002075241779,53.645,FALSE,FALSE,0,8,1,1
TRUE,0,24,25000,0.019499268,487.4817,FALSE,FALSE,0,15,0,1
TRUE,0,29,28600,0.01679452098,480.3233,FALSE,FALSE,0,47,1,1
TRUE,0,29,15100,0.004232892053,63.91667,FALSE,FALSE,1,7,0,1
TRUE,0,50,17500,0.01776238286,310.8417,FALSE,FALSE,0,36,1,1
TRUE,0,22,18000,0.0044475,80.055,FALSE,FALSE,0,48,0,1
TRUE,0,27,27600,0.0008423913043,23.25,FALSE,FALSE,0,30,1,1
TRUE,0,67,44692,0.000158492191,7.083333,FALSE,FALSE,1,36,1,1
TRUE,0,21,22500,0.002626184889,59.08916,FALSE,FALSE,0,15,1,1
TRUE,0,31,32000,0.0011328125,36.25,FALSE,FALSE,1,12,1,1
TRUE,0,26,22300,0.004698802691,104.7833,FALSE,FALSE,0,12,1,1
TRUE,0,28,20272,0.009231575572,187.1425,TRUE,FALSE,1,91,1,1
TRUE,0,46,20000,0.0005291665,10.58333,TRUE,FALSE,0,76,1,1
TRUE,0,24,24000,0.01921916667,461.26,FALSE,FALSE,1,164,0,1
TRUE,0,31,24000,0.01555902917,373.4167,FALSE,FALSE,1,54,0,1
TRUE,0,23,18500,0.005043783784,93.31,FALSE,FALSE,0,4,1,1
TRUE,0,26,23750,0.01190424421,282.7258,FALSE,TRUE,1,114,1,1
TRUE,0,19,19000,0.02358017368,448.0233,FALSE,FALSE,0,192,0,1
TRUE,0,62,16380,0.00391173199,64.07417,TRUE,FALSE,0,270,0,1
TRUE,0,23,15600,0.03216682692,501.8025,FALSE,FALSE,0,33,0,1
TRUE,0,22,21500,0.0007986823256,17.17167,FALSE,FALSE,0,12,1,1
TRUE,0,24,16000,0.0312884875,500.6158,TRUE,FALSE,0,48,0,1
TRUE,0,49,2100,0.02249602857,47.24166,TRUE,FALSE,2,42,1,1
TRUE,0,28,43750,0.002056114286,89.955,TRUE,FALSE,1,84,0,1
FALSE,1,31,30000,0,0,TRUE,FALSE,2,51,1,2
FALSE,0,19,21000,0,0,FALSE,FALSE,0,124,1,2
FALSE,0,34,24000,0,0,FALSE,FALSE,0,27,1,2
FALSE,1,44,18000,0,0,FALSE,TRUE,0,60,1,2
FALSE,0,31,21000,0,0,FALSE,FALSE,2,60,1,2
FALSE,1,22,18000,0,0,FALSE,FALSE,0,6,1,2
FALSE,0,19,19700,0,0,FALSE,FALSE,1,24,1,2
FALSE,4,38,17095,0,0,FALSE,FALSE,2,42,1,2
FALSE,0,28,18000,0,0,FALSE,TRUE,2,26,1,2
FALSE,0,38,30000,0,0,FALSE,FALSE,0,36,0,2
FALSE,1,25,18750,0,0,FALSE,FALSE,2,7,0,2
FALSE,0,29,35000,0,0,FALSE,FALSE,6,0,1,2
FALSE,1,20,26250,0,0,FALSE,TRUE,0,20,1,2
FALSE,1,24,60000,0,0,FALSE,FALSE,2,17,1,2
FALSE,2,35,38400,0,0,FALSE,FALSE,0,38,0,2
FALSE,0,26,20000,0,0,FALSE,TRUE,1,63,1,2
FALSE,1,36,18500,0,0,FALSE,FALSE,2,192,1,2
FALSE,1,28,20000,0,0,FALSE,FALSE,3,0,1,2
FALSE,1,54,94000,0,0,TRUE,FALSE,1,94,0,2
FALSE,1,53,41800,0,0,FALSE,FALSE,1,288,1,2
FALSE,0,27,36000,0,0,FALSE,FALSE,0,18,1,2
TRUE,0,52,24000,0.005773716667,138.5692,FALSE,TRUE,1,96,1,2
TRUE,0,20,15400,0.007455571429,114.8158,FALSE,FALSE,0,6,1,2
TRUE,0,27,22000,0.0005750377273,12.65083,FALSE,FALSE,0,60,0,2
TRUE,0,26,35000,0.007157737143,250.5208,FALSE,FALSE,0,52,1,2
TRUE,0,30,35000,0.02939888571,1028.961,TRUE,FALSE,0,6,0,2
TRUE,0,24,23000,0.002375942174,54.64667,FALSE,FALSE,0,30,1,2
TRUE,0,34,43000,0.002068527209,88.94667,FALSE,FALSE,1,12,1,2
TRUE,0,37,28250,0.005442538053,153.7517,TRUE,FALSE,0,240,1,2
TRUE,0,29,19500,0.0003333333333,6.5,TRUE,FALSE,2,96,1,2
TRUE,0,31,24700,0.007895680162,195.0233,FALSE,FALSE,3,94,1,2
TRUE,1,18,16600,0.004724598795,78.42834,TRUE,FALSE,0,51,1,2
TRUE,0,22,18000,0.009939766667,178.9158,FALSE,FALSE,0,6,0,2
TRUE,0,21,16800,0.009320434524,156.5833,FALSE,FALSE,0,18,0,2
TRUE,0,43,17472,0.006167822802,107.7642,TRUE,FALSE,0,18,0,2
TRUE,0,24,16000,0.003736666875,59.78667,FALSE,FALSE,0,43,1,2
TRUE,0,46,28000,0,0,TRUE,FALSE,1,84,1,2
TRUE,0,41,32000,0.0008399478125,26.87833,FALSE,FALSE,1,16,1,2
TRUE,0,18,19680,0.000495596189,9.753333,FALSE,FALSE,0,114,0,2
TRUE,0,28,33500,0.005951319403,199.3692,TRUE,FALSE,0,18,1,2
TRUE,0,22,39946,0.006349301557,253.6292,FALSE,FALSE,0,268,1,2
